userId,emotionIndex,index,keyCode,keyDown,keyUp,D1U1,D1U2,D1D2,U1D2,U1U2,D1U3,D1D3,answer
100,N,3448,o,"1,58E+12","1,58E+12",90.0,2556,2479.0,2389,2466,2737,2610.0,
100,N,3449,n,"1,58E+12","1,58E+12",77.0,258,131.0,54,181,744,650.0,
100,N,3450,c,"1,58E+12","1,58E+12",127.0,613,519.0,392,486,795,719.0,
100,N,3451,e,"1,58E+12","1,58E+12",94.0,276,200.0,106,182,2304,2232.0,
100,N,3452, ,"1,58E+12","1,58E+12",76.0,2104,2032.0,1956,2028,2271,2191.0,
100,N,3453,t,"1,58E+12","1,58E+12",72.0,239,159.0,87,167,805,669.0,
100,N,3454,h,"1,58E+12","1,58E+12",80.0,646,510.0,430,566,1161,1081.0,
100,N,3455,e,"1,58E+12","1,58E+12",136.0,651,571.0,435,515,895,762.0,
100,N,3456,r,"1,58E+12","1,58E+12",80.0,324,191.0,111,244,454,369.0,
100,N,3457,e,"1,58E+12","1,58E+12",133.0,263,178.0,45,130,4729,4670.0,
100,N,3458, ,"1,58E+12","1,58E+12",85.0,4551,4492.0,4407,4466,4924,4821.0,
100,N,3459,w,"1,58E+12","1,58E+12",59.0,432,329.0,270,373,797,646.0,
100,N,3460,a,"1,58E+12","1,58E+12",103.0,468,317.0,214,365,714,617.0,
100,N,3461,s,"1,58E+12","1,58E+12",151.0,397,300.0,149,246,1587,1490.0,
100,N,3462, ,"1,58E+12","1,58E+12",97.0,1287,1190.0,1093,1190,1460,1369.0,
100,N,3463,a,"1,58E+12","1,58E+12",97.0,270,179.0,82,173,582,498.0,
100,N,3464, ,"1,58E+12","1,58E+12",91.0,403,319.0,228,312,609,510.0,
100,N,3465,c,"1,58E+12","1,58E+12",84.0,290,191.0,107,206,697,636.0,
100,N,3466,a,"1,58E+12","1,58E+12",99.0,506,445.0,346,407,715,584.0,
100,N,3467,t,"1,58E+12","1,58E+12",61.0,270,139.0,78,209,2459,2348.0,
100,N,3468, ,"1,58E+12","1,58E+12",131.0,2320,2209.0,2078,2189,2714,2611.0,
100,N,3469,a,"1,58E+12","1,58E+12",111.0,505,402.0,291,394,782,693.0,
100,N,3470,n,"1,58E+12","1,58E+12",103.0,380,291.0,188,277,559,453.0,
100,N,3471,d,"1,58E+12","1,58E+12",89.0,268,162.0,73,179,1637,1586.0,
