userId,emotionIndex,index,keyCode,keyDown,keyUp,D1U1,D1U2,D1D2,U1D2,U1U2,D1U3,D1D3,answer
100,N,3448,o,"1,58E+12","1,58E+12",90.0,2556.0,2479.0,2389.0,2466.0,2737.0,2610.0,
100,N,3449,n,"1,58E+12","1,58E+12",77.0,258.0,131.0,54.0,181.0,744.0,650.0,
100,N,3450,c,"1,58E+12","1,58E+12",127.0,613.0,519.0,392.0,486.0,795.0,719.0,
100,N,3451,e,"1,58E+12","1,58E+12",94.0,276.0,200.0,106.0,182.0,2304.0,2232.0,
100,N,3452, ,"1,58E+12","1,58E+12",76.0,2104.0,2032.0,1956.0,2028.0,2271.0,2191.0,
100,N,3453,t,"1,58E+12","1,58E+12",72.0,239.0,159.0,87.0,167.0,805.0,669.0,
100,N,3454,h,"1,58E+12","1,58E+12",80.0,646.0,510.0,430.0,566.0,1161.0,1081.0,
100,N,3455,e,"1,58E+12","1,58E+12",136.0,651.0,571.0,435.0,515.0,895.0,762.0,
100,N,3456,r,"1,58E+12","1,58E+12",80.0,324.0,191.0,111.0,244.0,454.0,369.0,
100,N,3457,e,"1,58E+12","1,58E+12",133.0,263.0,178.0,45.0,130.0,4729.0,4670.0,
100,N,3458, ,"1,58E+12","1,58E+12",85.0,4551.0,4492.0,4407.0,4466.0,4924.0,4821.0,
100,N,3459,w,"1,58E+12","1,58E+12",59.0,432.0,329.0,270.0,373.0,797.0,646.0,
100,N,3460,a,"1,58E+12","1,58E+12",103.0,468.0,317.0,214.0,365.0,714.0,617.0,
100,N,3461,s,"1,58E+12","1,58E+12",151.0,397.0,300.0,149.0,246.0,1587.0,1490.0,
100,N,3462, ,"1,58E+12","1,58E+12",97.0,1287.0,1190.0,1093.0,1190.0,1460.0,1369.0,
100,N,3463,a,"1,58E+12","1,58E+12",97.0,270.0,179.0,82.0,173.0,582.0,498.0,
100,N,3464, ,"1,58E+12","1,58E+12",91.0,403.0,319.0,228.0,312.0,609.0,510.0,
100,N,3465,c,"1,58E+12","1,58E+12",84.0,290.0,191.0,107.0,206.0,697.0,636.0,
100,N,3466,a,"1,58E+12","1,58E+12",99.0,506.0,445.0,346.0,407.0,715.0,584.0,
100,N,3467,t,"1,58E+12","1,58E+12",61.0,270.0,139.0,78.0,209.0,2459.0,2348.0,
100,N,3468, ,"1,58E+12","1,58E+12",131.0,2320.0,2209.0,2078.0,2189.0,2714.0,2611.0,
100,N,3469,a,"1,58E+12","1,58E+12",111.0,505.0,402.0,291.0,394.0,782.0,693.0,
100,N,3470,n,"1,58E+12","1,58E+12",103.0,380.0,291.0,188.0,277.0,559.0,453.0,
100,N,3471,d,"1,58E+12","1,58E+12",89.0,268.0,162.0,73.0,179.0,1637.0,1586.0,
100,N,3472, ,"1,58E+12","1,58E+12",106.0,1475.0,1424.0,1318.0,1369.0,1714.0,1624.0,
100,N,3473,a,"1,58E+12","1,58E+12",51.0,290.0,200.0,149.0,239.0,615.0,524.0,
100,N,3474, ,"1,58E+12","1,58E+12",90.0,415.0,324.0,234.0,325.0,650.0,557.0,
100,N,3475,m,"1,58E+12","1,58E+12",91.0,326.0,233.0,142.0,235.0,579.0,490.0,
100,N,3476,o,"1,58E+12","1,58E+12",93.0,346.0,257.0,164.0,253.0,580.0,480.0,
100,N,3477,u,"1,58E+12","1,58E+12",89.0,323.0,223.0,134.0,234.0,646.0,548.0,
100,N,3478,s,"1,58E+12","1,58E+12",100.0,423.0,325.0,225.0,323.0,5736.0,5634.0,
100,N,3479,e,"1,58E+12","1,58E+12",98.0,5411.0,5309.0,5211.0,5313.0,6496.0,6407.0,
100,N,3480,¾,"1,58E+12","1,58E+12",102.0,1187.0,1098.0,996.0,1085.0,,1711.0,
100,N,3481,\b,"1,58E+12","1,58E+12",89.0,,613.0,524.0,,,1217.0,
100,N,3523,\u0010,"1,58E+12","1,58E+12",427.0,136.0,12.0,-415.0,-291.0,745.0,614.0,
100,N,3524,¾,"1,58E+12","1,58E+12",124.0,733.0,602.0,478.0,609.0,1916.0,1822.0,
100,N,3525, ,"1,58E+12","1,58E+12",131.0,1314.0,1220.0,1089.0,1183.0,3168.0,3068.0,
100,N,3526,u,"1,58E+12","1,58E+12",94.0,1948.0,1848.0,1754.0,1854.0,2978.0,2913.0,
100,N,3527,s,"1,58E+12","1,58E+12",100.0,1130.0,1065.0,965.0,1030.0,1367.0,1256.0,
100,N,3528,u,"1,58E+12","1,58E+12",65.0,302.0,191.0,126.0,237.0,587.0,493.0,
100,N,3529,a,"1,58E+12","1,58E+12",111.0,396.0,302.0,191.0,285.0,2602.0,2500.0,
100,N,3530,l,"1,58E+12","1,58E+12",94.0,2300.0,2198.0,2104.0,2206.0,3032.0,2948.0,
100,N,3531,l,"1,58E+12","1,58E+12",102.0,834.0,750.0,648.0,732.0,1053.0,930.0,
100,N,3532,y,"1,58E+12","1,58E+12",84.0,303.0,180.0,96.0,219.0,3773.0,3696.0,
100,N,3533, ,"1,58E+12","1,58E+12",123.0,3593.0,3516.0,3393.0,3470.0,3764.0,3677.0,
100,N,3534,¼,"1,58E+12","1,58E+12",77.0,248.0,161.0,84.0,171.0,887.0,789.0,
100,N,3535, ,"1,58E+12","1,58E+12",87.0,726.0,628.0,541.0,639.0,943.0,832.0,
100,N,3536,c,"1,58E+12","1,58E+12",98.0,315.0,204.0,106.0,217.0,543.0,454.0,
100,N,3537,a,"1,58E+12","1,58E+12",111.0,339.0,250.0,139.0,228.0,2250.0,2155.0,
100,N,3538,t,"1,58E+12","1,58E+12",89.0,2000.0,1905.0,1816.0,1911.0,2228.0,2152.0,
100,N,3539,s,"1,58E+12","1,58E+12",95.0,323.0,247.0,152.0,228.0,981.0,858.0,
100,N,3540, ,"1,58E+12","1,58E+12",76.0,734.0,611.0,535.0,658.0,1947.0,1813.0,
100,N,3541,e,"1,58E+12","1,58E+12",123.0,1336.0,1202.0,1079.0,1213.0,2155.0,2023.0,
100,N,3542,a,"1,58E+12","1,58E+12",134.0,953.0,821.0,687.0,819.0,2201.0,2100.0,
